中型车流量,大车流量,微型车流量,长车流量,车流量,轻型车流量
1556,912,10926,2761,17604,1449
2249,1317,15982,3949,25442,1945
533,282,2447,655,4420,503
284,184,1224,553,2488,243
98,70,386,248,882,80
466,250,1821,801,3735,397
163,95,812,305,1488,113
173,90,826,220,1472,163
867,539,4582,1384,8133,761
1188,696,6203,1843,10906,976
160,90,418,276,1069,125
926,534,4219,1610,8031,742
780,479,5243,1611,8769,656
1391,788,9188,1981,14483,1135
249,144,819,450,1855,193
381,190,1290,513,2669,295
554,305,2261,770,4352,462
576,360,2245,1066,4747,500
973,559,4690,1490,8533,821
64,50,381,150,720,75
10,4,85,5,109,5
85,53,272,134,623,79
189,131,361,456,1306,169
2017,1178,13829,3388,22240,1828
1189,773,6744,1863,11564,995
494,328,1780,807,3841,432
756,390,3703,995,6470,626
417,253,1581,735,3289,303
460,294,2891,963,5035,427
226,176,1857,534,3006,213
474,329,1700,846,3773,424
151,95,1085,398,1839,110
387,258,1907,743,3589,294
310,198,1696,639,3119,276
959,567,4646,1509,8536,855
1557,876,10021,1449,15227,1324
1056,647,6470,2055,11194,966
895,536,4927,1574,8713,781
1132,658,6913,1859,11527,965
1119,643,6484,1643,10901,1012
347,234,2052,791,3729,305
196,131,678,296,1469,168
626,356,3419,793,5797,603
841,566,5766,660,8574,741
1300,756,8070,1970,13217,1121
652,330,3494,640,5716,600
333,178,818,562,2149,258
1719,932,8064,2185,14426,1526
1229,727,7587,1951,12552,1058
388,264,1854,705,3515,304
387,227,1172,648,2724,290
185,121,474,396,1299,123
546,325,2059,844,4303,529
89,61,191,217,621,63
71,42,123,153,453,64
440,232,1044,907,2953,330
1634,871,8446,1914,14435,1570
199,110,1065,223,1777,180
697,386,3624,907,6211,597
191,90,586,265,1289,157
360,220,928,623,2425,294
545,284,1727,897,3910,457
418,203,1664,478,3126,363
1215,678,7437,1846,12269,1093
216,154,1507,476,2527,174
826,448,5233,1419,8693,767
525,251,3332,796,5323,419
679,391,4650,627,6954,607
1958,1100,13451,2942,21123,1672
334,189,1392,713,2891,263
355,214,1181,607,2616,259
827,496,5442,1574,9158,819
1040,608,4487,1790,8764,839
1599,893,8066,2418,14275,1299
752,424,2701,1068,5575,630
326,225,1067,470,2360,272
1387,823,8814,2163,14370,1183
349,176,1285,480,2606,316
1067,632,6094,1722,10416,901
634,388,3684,1302,6567,559
178,94,504,266,1168,126
280,157,672,444,1771,218
700,367,3423,744,5896,662
407,223,2459,414,3900,397
629,319,2385,734,4556,489
384,190,2045,312,3272,341
366,245,1197,551,2714,355
965,803,6272,2254,11216,922
167,88,1039,202,1697,201
367,249,2129,684,3737,308
62,36,251,148,536,39
627,353,2962,977,5378,459
919,564,5268,1719,9271,801
1331,747,8332,2210,13756,1136
1537,1001,8851,2539,15295,1367
1318,774,8167,2127,13465,1079
1333,772,8089,2270,13600,1136
1245,755,7622,2222,12998,1154
497,274,1354,689,3204,390
120,71,162,206,639,80
543,261,2595,452,4346,495
512,256,3076,506,4892,542
239,172,562,438,1591,180
176,114,296,321,1025,118
154,89,337,252,947,115
684,440,2056,926,4644,538
410,242,3264,877,5140,347
1717,921,11545,2419,18054,1452
1905,991,13692,2995,21350,1767
2253,1231,13993,3319,22752,1956
975,1455,10154,2991,16407,832
545,269,1428,317,2910,351
684,311,1580,409,3413,429
514,258,1353,287,2776,364
972,546,6808,770,9871,775
1385,1165,8864,3470,15982,1098
451,280,3984,424,5494,355
791,534,5162,959,8066,620
1041,632,5631,1626,9806,876
1002,625,8114,845,11492,906
297,171,1174,256,2155,257
990,618,9802,1779,14138,949
353,200,889,127,1792,223
563,285,1682,277,3199,392
695,453,5308,519,7594,619
462,204,1186,181,2337,304
485,194,1155,202,2359,323
488,244,1214,276,2573,351
1099,811,6351,3613,12818,944
461,229,1154,264,2384,276
23,15,7785,12,7836,1
1005,585,6871,862,10145,822
784,406,5912,642,8352,608
287,104,802,158,1533,182
681,429,3437,1205,6349,597
763,422,5232,1335,8361,609
433,297,2525,793,4436,388
956,562,5303,1507,9127,799
1247,709,7291,2082,12392,1063
164,105,507,284,1189,129
500,260,1825,807,3802,410
365,218,2148,555,3593,307
685,409,4502,1222,7374,556
863,500,3319,1467,6883,734
1269,787,6974,2214,12367,1123
400,264,2487,801,4322,370
342,207,1943,741,3499,266
233,149,1304,503,2390,201
1056,655,6619,1816,11092,946
289,166,1240,543,2469,231
1367,859,7039,2430,12932,1237
655,387,3813,1180,6621,586
1284,729,7029,1931,12123,1150
326,189,879,191,1791,206
840,592,4883,947,7959,697
1071,646,8324,928,11896,927
861,433,7037,550,9589,708
689,366,5688,512,7898,643
455,232,1313,353,2674,321
179,82,542,138,1059,118
1168,603,6545,1547,10845,982
855,571,5021,986,8159,726
918,469,5840,1142,9125,756
705,380,2308,524,4420,503
341,168,1027,278,2054,240
484,261,1608,272,2922,297
485,266,1522,332,2979,374
554,328,1530,450,3239,377
561,314,1778,372,3425,400
795,548,4936,1014,8013,720
413,190,1429,277,2606,297
970,566,5957,1505,9870,872
148,381,2949,520,4134,136
473,322,3332,503,5036,406
562,341,1477,388,3123,355
551,303,4777,365,6495,499
687,472,4546,686,6929,538
1224,661,6879,894,10668,1010
1107,698,5904,1186,9795,900
496,268,1603,450,3173,356
1039,562,4478,796,7640,765
147,86,610,144,1106,119
400,194,843,162,1851,252
465,213,1130,246,2344,290
508,365,4044,520,5845,408
796,466,3518,756,6085,549
173,131,942,117,1497,134
431,206,1287,222,2421,275
896,520,6524,569,9326,817
733,431,6515,506,8807,622
4,2,8,2,19,3
262,226,2604,284,3566,190
723,381,3160,935,5840,641
699,565,4941,2026,8759,528
1237,876,11420,3594,18271,1144
28,17,176,26,272,25
272,169,749,409,1819,220
125,66,814,164,1302,133
125,77,375,225,904,102
334,200,1464,554,2809,257
276,190,2420,967,4099,246
262,167,709,505,1889,246
625,300,3077,808,5386,576
697,426,2456,1052,5220,589
496,294,1860,682,3755,423
972,593,3666,1364,7475,880
300,168,1351,309,2402,274
327,179,831,524,2115,254
174,88,410,244,1064,148
397,171,1811,447,3165,339
202,153,447,367,1349,180
549,267,2309,577,4169,467
64,41,167,93,449,84
252,165,529,421,1578,211
290,242,1139,734,2648,243
131,83,303,222,853,114
1892,1068,8000,2638,15166,1568
249,142,726,429,1727,181
201,94,747,118,1314,154
387,214,1213,616,2742,312
417,277,1500,778,3308,336
1401,841,5959,1957,11369,1211
2077,1207,12197,2875,20076,1720
852,516,5882,693,8635,692
542,319,1940,874,4113,438
451,294,2010,793,3961,413
145,86,442,224,991,94
425,330,3496,1275,5949,423
1144,1143,5361,3763,12265,854
1221,1188,10234,3614,17386,1129
898,638,6434,2869,11627,788
758,456,4837,554,7186,581
922,556,5196,943,8310,693
295,140,1319,172,2140,214
211,131,873,200,1597,182
260,338,3732,1091,5631,210
181,89,420,60,873,123
502,586,4183,1591,7287,425
406,260,2504,268,3779,341
302,113,814,135,1554,190
168,121,1141,177,1728,121
98,43,287,75,549,46
135,88,1108,179,1628,118
228,169,2245,495,3356,219
233,97,708,104,1327,185
346,249,3307,545,4744,297
220,109,702,68,1272,173
1141,1079,9087,3836,16096,953
74,43,337,135,628,39
15,27,297,17,372,16
861,680,5714,2359,10255,641
1152,1513,9022,3342,16077,1048
204,137,637,138,1277,161
474,306,2908,334,4405,383
68,30,229,48,437,62
933,1253,6462,3587,12983,748
392,207,2241,251,3359,268
408,283,3266,922,5176,297
757,394,3057,949,5835,678
210,135,543,385,1415,142
562,278,1402,377,3036,417
348,189,1176,218,2175,244
401,236,2586,309,3819,287
441,257,2670,370,4091,353
1127,735,3761,2089,8582,870
230,95,583,86,1154,160
428,256,2742,419,4171,326
288,161,800,141,1588,198
217,114,3798,169,4461,163
778,526,5283,880,8112,645
1225,897,9069,3144,15383,1048
327,167,894,179,1770,203
498,225,1244,262,2593,364
1198,660,7553,1885,12321,1025
1285,765,8023,1173,12312,1066
1129,658,6456,1179,10319,897
709,451,5968,559,8252,565
744,447,4799,748,7377,639
1021,566,6663,834,10082,998
531,297,1260,356,2771,327
617,293,1475,317,3092,390
997,600,4932,1025,8354,800
484,337,4985,375,6573,392
885,556,6049,669,8913,754
556,307,1338,328,2921,392
204,133,1535,173,2206,161
937,581,6840,1587,10814,869
248,149,652,175,1383,159
288,167,2451,385,3511,220
544,333,1529,416,3231,409
565,307,1373,324,2966,397
308,186,933,202,1858,229
397,251,2814,319,4120,339
296,135,956,133,1782,262
343,222,1411,333,2571,262
348,212,1000,183,2012,269
787,1015,8020,2709,13247,716
431,240,1046,229,2237,291
1481,895,12491,2397,18609,1345
909,521,5126,995,8277,726
468,226,1288,239,2568,347
666,368,2069,474,4122,545
943,563,4557,1492,8408,853
537,298,1407,335,2925,348
43,38,252,26,405,46
782,465,2518,566,4919,588
403,236,785,163,1824,237
528,314,4246,330,5872,454
325,177,834,175,1706,195
261,148,874,165,1711,263
147,74,516,99,952,116
236,115,800,170,1487,166
1637,945,7276,2463,13623,1302
449,249,1825,339,3180,318
213,88,728,105,1280,146
356,183,1066,258,2100,237
884,509,4447,963,7543,740
310,198,1696,639,3119,276
184,85,707,71,1201,154
737,413,3165,1156,6152,681
668,420,2072,629,4256,467
505,281,2662,661,4565,456
646,348,2951,1095,5562,522
