中型车流量,数据时间,大车流量,平均车速,监测点id,微型车流量,长车流量,车头距,id,车流量,平均占道率,轻型车流量
5047,"	2024-01-22 00:00:00",10965,"6.7700000000000003E+001",1001,31830,7959,0,24025,52033,"2.2699999999999999E+001",36021
4656,"	2024-01-23 00:00:00",9605,"6.5E+001",1001,29633,6974,0,24026,47914,"2.4600000000000001E+001",33653
4200,"	2024-01-24 00:00:00",8053,"7.8900000000000006E+001",1001,26233,5685,0,24027,42047,"1.7399999999999999E+001",29794
3205,"	2024-01-25 00:00:00",6600,"7.5599999999999994E+001",1001,21189,4803,0,24028,33809,"1.59E+001",24004
2682,"	2024-01-26 00:00:00",5321,"7.4200000000000003E+001",1001,17192,3825,0,24029,27534,"1.46E+001",19531
3538,"	2024-01-27 00:00:00",6975,"6.9599999999999994E+001",1001,25078,4973,0,24030,38941,"1.7699999999999999E+001",28428
520,"	2020-12-18 00:00:00",0,"9.7700000000000003E+001",1001,5770,402,0,20381,6692,"3.5E+000",0
30,"	2022-09-27 00:00:00",10,"7.4200000000000003E+001",1001,627,11,0,22589,626,9.0000000000000002E-001,586
2263,"	2024-01-30 00:00:00",4890,"5.05E+001",1001,17181,3619,0,24033,26423,"2.2100000000000001E+001",19270
2140,"	2024-01-31 00:00:00",4971,"5.1799999999999997E+001",1001,14892,3745,0,24034,23911,"1.8699999999999999E+001",16800
40,"	2022-09-26 00:00:00",13,"7.9200000000000003E+001",1001,559,13,0,22588,612,"1.3999999999999999E+000",559
3283,"	2024-02-02 00:00:00",1808,"6.15E+001",1001,22959,4606,0,24036,35536,"1.9300000000000001E+001",2880
3332,"	2024-02-03 00:00:00",1843,"7.0400000000000006E+001",1001,23019,4867,0,24037,36251,"1.75E+001",3190
2923,"	2024-02-04 00:00:00",1621,"6.8700000000000003E+001",1001,21174,4789,0,24038,33252,"1.9E+001",2745
221,"	2020-12-17 00:00:00",0,"9.5200000000000003E+001",1001,3009,112,0,20361,3342,"2.0E+000",0
50,"	2022-09-25 00:00:00",16,"6.3600000000000001E+001",1001,744,16,0,22587,809,"1.1000000000000001E+000",743
18,"	2022-09-24 00:00:00",2,"6.9E+001",1001,285,2,0,22570,305,6.9999999999999996E-001,285
4576,"	2024-02-08 00:00:00",2452,"6.8400000000000006E+001",1001,30444,6071,0,24042,47540,"2.2800000000000001E+001",3997
515,"	2020-12-16 00:00:00",0,"9.7900000000000006E+001",1001,4746,310,0,20341,5571,"3.0E+000",0
3396,"	2024-02-10 00:00:00",1908,"5.3700000000000003E+001",1001,23811,5008,0,24044,37064,"2.7E+001",2941
1556,"	2024-02-11 00:00:00",912,"5.35E+001",1001,10926,2761,0,24045,17604,"1.6699999999999999E+001",1449
2249,"	2024-02-12 00:00:00",1317,"5.2399999999999999E+001",1001,15982,3949,0,24046,25442,"1.9199999999999999E+001",1945
41,"	2022-09-23 00:00:00",13,"7.0E+001",1001,791,13,0,22569,845,"1.1000000000000001E+000",791
35,"	2022-09-22 00:00:00",17,"8.5599999999999994E+001",1001,710,17,0,22568,762,"1.3999999999999999E+000",710
2390,"	2024-02-15 00:00:00",1388,"5.5700000000000003E+001",1001,16439,3876,0,24049,26281,"1.8300000000000001E+001",2188
3302,"	2024-02-16 00:00:00",1852,"6.3799999999999997E+001",1001,22646,4681,0,24050,35392,"1.85E+001",2911
285,"	2020-12-15 00:00:00",0,"9.8400000000000006E+001",1001,3672,150,0,20321,4107,"2.2999999999999998E+000",0
43,"	2024-02-18 00:00:00",122,"6.1200000000000003E+001",1001,18635,4512,0,24052,561,"1.8100000000000001E+001",396
3151,"	2024-02-19 00:00:00",6498,"6.2E+001",1001,20877,4711,0,24053,33287,"1.9600000000000001E+001",23638
3854,"	2024-02-20 00:00:00",7782,"6.9E+001",1001,24941,5617,0,24054,39794,"1.9100000000000001E+001",28158
40,"	2022-09-21 00:00:00",16,"8.2799999999999997E+001",1001,670,16,0,22567,726,"1.2E+000",670
14,"	2022-09-20 00:00:00",6,"7.9200000000000003E+001",1001,258,6,0,22547,263,5.9999999999999998E-001,243
4161,"	2024-02-23 00:00:00",8004,"7.1599999999999994E+001",1001,27596,5696,0,24057,43544,"1.7E+001",31379
4574,"	2024-02-24 00:00:00",8733,"6.9799999999999997E+001",1001,30373,6122,0,24058,47659,"1.9399999999999999E+001",34352
236,"	2020-12-14 00:00:00",0,"9.8099999999999994E+001",1001,2596,148,0,20301,2980,"2.2000000000000002E+000",0
4197,"	2024-02-26 00:00:00",8029,"6.4299999999999997E+001",1001,29240,5688,0,24060,45213,"2.1600000000000001E+001",32987
4428,"	2024-02-27 00:00:00",8593,"6.7099999999999994E+001",1001,30028,6126,0,24061,46869,"2.2E+001",33848
